Stockist ID,Name,Address line 1,Address line 2,City,State/Province,Postal code,Country,Phone,Website,Email,Logo URL,Notes,Priority,Visible,Naked & Famous Denim Flagship Stores
loc_nxemm6j5,Blue Seven,7518 N May Ave,,Oklahoma City,OK,73116,United States,(405) 604-5199,http://www.myblueseven.com/,,,,,Yes,
loc_8gkeex66,Danali His & Hers,100-530 Kenaston Blvd,,Winnipeg,MB,R3N1Z4,Canada,(204) 489-0577,http://www.danali.ca/,,,,,Yes,
loc_gpvwwj87,Shopbop,Online,,,,,United States,,https://www.shopbop.com,,,,,Yes,
loc_z7wppgrw,The Thirty First,Online,,,,,United States,,https://thethirtyfirst.co/,,,,,Yes,
loc_gpvwwjg7,Dallas Denim Repair,420 W Davis Street,,Dallas,TX,75208,United States,(469)941-4021,https://dallasdenim.repair,,,,,Yes,
loc_kkwmmxnq,Tyler Kingston Mercantile,106 W Virginia Street,,McKinney,TX,75069,United States,(972)369-7770,https://www.tylerkingston.com/,,,,,Yes,
loc_z7wppgqw,Fontenelle Supply Co - Omaha,1414 S 13th St,,Omaha,NE,68108,United States,(531) 867-3108,https://www.fontenellesupplyco.com/,,,,,Yes,
loc_xgyqqe96,Fontenelle Supply Co - Des Moines,524 E Grand Ave,,Des Moines,IA,50309,United States,(515) 259-4035,https://www.fontenellesupplyco.com/,,,,,Yes,
loc_ywpyyjvv,BlackBlue,614 Selby Avenue,,St. Paul,MN,55102,United States,,http://www.blkblu.com,,,,,Yes,
loc_7vx22k6q,Allied Barber,224 W 3rd St,,Davenport,IA,52801,United States,,https://alliedbarber.com/,,,,,Yes,
loc_6j8nnzr5,Journeyman Co.,7525 Hubbard Ave.,,Middleton,WI,53562,United States,608.203.6545,http://www.journeymanshop.com,,,,,Yes,
loc_eq7yy2wv,Central Men's,662 Central Ave,,Highland Park,Il,60035,United States,847-275-1911,https://mensontheblock.com/,,,,,Yes,
loc_9ykrr86y,Mildblend Supply Co.,1342 N. Milwaukee Ave.,,Chicago,IL,60622,United States,(773) 772-9711,https://mildblend.com/,,,,,Yes,
loc_qx5mmvky,Belmont Army Wicker Park,1318 N Milwaukee Ave,,Chicago,IL,60622,United States,,,,,,,Yes,
loc_kkwmmxjq,Iron Pyrite Production,1710 Drake Ave SE,,Huntsville,AL,35802,United States,,https://ironpyriteproduction.com/,,,,,Yes,
loc_5z5wwxrn,Dant,5624 East Washington St,,Indianapolis,IN,46219,United States,(317) 974-9715,https://jamesdant.com/,,,,,Yes,
loc_mg2xxknv,Standard,3393 Peachtree Rd. NE #5005,,Atlanta,Ga,30326,United States,(404)846-8535,https://www.instagram.com/standardatl,,,,,Yes,
loc_6j8nnzg5,Whiskey Grade,300 Park Avenue,,Ohio,OH,44122,United States,216-600-9303,https://whiskeygrade.com/,,,,,Yes,
loc_8gkee8g6,Werk-Shop,119 Ontario Street,,Stratford,ON,N5A 3H1,Canada,(519) 508-2080,https://werk.shop/home/,,,,,Yes,
loc_mg2xxkjv,Fancy Groceries,1311 S Hawthorne Rd,,Winston-Salem,NC,27103,United States,336-283-6019,https://fancygroceries.com/,,,,,Yes,
loc_2neqqgn9,Meri Men,29 Quebec Streeet,,Guelph,ON,N1H 2T1,Canada,(519) 822-4011,,,,,,Yes,
loc_eq7yy2qv,Ms Meri Mak Boutique,31 Quebec Streeet,,Guelph,ON,N1H 2T1,Canada,(647) 607-3565,https://msmerimak.com/,,,,,Yes,
loc_8gkee8q6,Maison Simons - Mississauga,100 City Centre Dr #1-814,,Mississauga,ON,L5B 2C9,Canada,(289) 777-3630,http://www.simons.ca,,,,,Yes,
loc_ywpyyj5v,Gerhard Supply,2949 Dundas Street West,,Toronto,ON,M6P1Z2,Canada,(416) 999-3382,http://www.gerhardsupply.com,,,,,Yes,
loc_wgqvv2mx,Good Neighbour - Roncesvalles,415 Roncesvalles Ave,,Toronto,ON,M6R 2N1,Canada,(416) 546-3779,https://goodnbr.com/,,,,,Yes,
loc_jzpeemze,Muttonhead,163 Roncesvalles Ave,,Toronto,ON,M6R 2L3,Canada,(647) 341-4415,https://www.muttonheadstore.com/,,,,,Yes,
loc_jzpeemke,Gravitypope - Toronto,1010 Queen St W,,Toronto,ON,"M6J1H6,",Canada,(647) 748-5155,http://www.gravitypope.com,,,,,Yes,
loc_9ykrr8py,Dutil Denim,704 Queen St West,,Toronto,ON,M6J 1E7,Canada,(647) 352-2560,http://www.dutildenim.com,,,,,Yes,
loc_nxemm6k5,Good Neighbour - Summerhill,1212 Yonge St,,Toronto,ON,M4T 1W1,Canada,(416) 764-7189,https://goodnbr.com/,,,,,Yes,
loc_gpvwwjp7,Over The Rainbow Ltd,Manulife Centre,"55 Bloor Street West, Suite 123",Toronto,ON,M4W 1A5,Canada,(416) 967-7448,https://www.rainbowjeans.com/,,,,,Yes,
loc_p7gmm9xk,Good Neighbour - Leslieville,935 Queen St E,,Toronto,ON,M4M 1J6,Canada,(647) 350-0663,https://goodnbr.com/,,,,,Yes,
loc_mg2xxkgv,Providence,384 George St N,,Peterborough,ON,K9H 3R3,Canada,(705) 741-1812,https://www.providenceptbo.com/,,,,,Yes,
loc_p7gmm9jk,Blackbyrd Goods,3439 West Cary St,,Richmond,VA,23221,United States,,https://www.blackbyrdgoods.com/,,,,,Yes,
loc_rxmzzqxq,Victoire,1282 Wellington St West,Unit B,Ottawa,ON,K1Y 3A7,Canada,(613) 421-0089,http://www.victoireboutique.com,,,,,Yes,
loc_v5v99n5m,Maison Simons - Ottawa,50 Rideau Street,,Ottawa,ON,K1N 9J7,Canada,(613) 230-3630,http://www.simons.ca,,,,,Yes,
loc_kkwmmxkq,Stomping Ground,"728 Bank St, Ottawa",,Ottawa,ON,K1S 2H6,Canada,(613) 422-7867,https://stompingground.ca/,,,,,Yes,
loc_nxemm625,Totem Brand Co,529 South St,,Philadelphia,Pennsylvania,19147,United States,(215) 440-9922,https://totemshop.com/,,,,,Yes,
loc_ywpyyj2v,Ninth of June,2 Court Street,,Delhi,NY,13753,United States,607-422-7425,http://ninthofjune.store,,,,,Yes,
loc_jzpeemge,City Workshop Men's Supply Co,92 Baker Street,,Maplewood,NJ,7040,United States,(973) 577-2013,http://www.cityworkshopmsc.com,,,,,Yes,
loc_qx5mmvgy,Naked & Famous Denim NYC,123 Grand St,Soho,New York,NY,10013,United States,(646) 892-3085,https://nakedandfamousdenimnyc.com,,,,,Yes,Yes
loc_7vx22kjq,Maryann's,444 Main Street,,Beacon,NY,12508,United States,,https://maryannsbeacon.com/,,,,,Yes,
loc_rxmzzqvq,Maison Simons - Laval,3025 Boulevard le Carrefour,,Laval,QC,H7T1C7,Canada,(514) 484-1840,http://www.simons.ca,,,,,Yes,
loc_kkwmmrpq,Altitude Sports,Online,,,,,Canada,,https://www.altitude-sports.com/,,,,,Yes,
loc_6j8nnzj5,Naked & Famous Denim Montreal,9096 St. Laurent,,Montreal,QC,H2N1M9,Canada,(514) 382-2779,http://www.nakedandfamousdenim.com,,https://nakedandfamousdenim.com/cdn/shop/files/n_f_logo_letters_1b6077a8-7f47-47d5-aa91-7838e7c2f18f.png?v=1742515519&width=280,,,Yes,Yes
loc_rxmzzy7q,Boutique Archive,318 Villeray,,Montreal,QC,H2R 1G7,Canada,(514) 564-9899,http://www.boutiquearchive.com,,,,,Yes,
loc_xgyqqe86,Jeans Jeans Jeans,5575 Casgrain,,Montreal,QC,H2T 1Y1,Canada,(514)279-3303,https://www.jeansjeansjeans.ca/,,,,,Yes,
loc_qx5mmv9y,Gank,4644 Rue Notre Dame Ouest,,Montreal,QC,H4C1S4,Canada,(514) 581-2293,https://gank.shop/,,,,,Yes,
loc_7vx22kvq,Maison Simons - Montreal,977 Rue Sainte-Catherine O,,Montreal,QC,H3B 4W3,Canada,(514) 289-1840,http://www.simons.ca,,,,,Yes,
loc_9ykrr8yy,Maison Simons - Montreal East,7999 Boulevard des Galeries d'Anjou,Galeries d'Anjou,Anjou,QC,H1M 1W9,Canada,(514) 356-1840,http://www.simons.ca,,,,,Yes,
loc_qx5mmvxy,Maison Simons - Quebec,5401 Boulevard des Galeries,Galeries de la Capitale,Quebec,QC,G2K 1N4,Canada,(418) 626-1840,http://www.simons.ca,,,,,Yes,
loc_ywpyyjwv,Maison Simons - Quebec,2450 Boulevard Laurier,Place Ste-Foy,Quebec,QC,G1V 2L1,Canada,(418) 634-1840,http://www.simons.ca,,,,,Yes,
loc_p7gmm97k,Maison Simons - Vieux-Quebec,20 Côte de la Fabrique,,Québec,QC,G1R 3V7,Canada,(418) 694-3630,http://www.simons.ca,,,,,Yes,
loc_xgyqqeg6,Sattva Boutique (Women Only),2453 Agricole,,Halifax,NS,B3K 4C1,Canada,(902) 431-2453,https://sattvaboutique.com/,,,,,Yes,
loc_6j8nn5m5,Another Shop Boutique (Women Only),1715 Lower Water Street,Suite 142,Halifax,NS,B3J 0J4,Canada,902-431-1715,https://anothershopboutique.com/,,,,,Yes,
loc_nxemm6x5,Market Price Shop,"1477 Lower Water Street, Unit 175",,Halifax,NS,B3J 3Z4,Canada,(902) 422- 1395,https://www.market-price.ca/,,,,,Yes,
loc_v5v99nrm,Eastwood Avenue Menswear,58 Queen Street,,Charlottetown,PE,C1A 4A6,Canada,(902) 629-1260,https://www.eastwoodave.com/,,,,,Yes,
loc_wgqvv2yx,Flaneurs,4B rue Leperdit,,Rennes,,35000,France,+33 (0)2 99 77 43 36,https://flaneurs.net/,,,,,Yes,
loc_8gkee856,The Business,360 Welford Rd,,Leicester,,LE2 6EJ,United Kingdom,0116 2126754,http://www.thebusinessfashion.com,,,,,Yes,
loc_ywpyyjzv,Bleu Brut,68 rue du Pas-Saint-Georges,,Bordeaux,,33000,France,,https://www.bleubrut.com/,,,,,Yes,
loc_6j8nnze5,Jeanstore,41 Warwick Street,,Worthing,WEST SUSSEX,BN113DQ,United Kingdom,+41 1903 533099,https://jeanstore.co.uk/,,,,,Yes,
loc_rxmzzqgq,Stuarts London,35-37 Uxbridge Road,Shepherds Bush,London,,W128LH,United Kingdom,+44 20 8735 1801,https://www.stuartslondon.com/,,,,,Yes,
loc_kkwmmxzq,Doe & Dog,Finance House,20/21 Aviation Way,Essex,,SS2 6UN,United Kingdom,,https://doeanddog.com/,,,,,Yes,
loc_p7gmm9qk,Bouclard,10 rue Peyras,,Toulouse,,31000,France,,http://bouclardstore.com,,,,,Yes,
loc_nxemm695,Kiliwatch,64 Rue Tiquetonne,,Paris,,75002,France,+33 1 42 21 17 37,http://kiliwatch.paris/,,,,,Yes,
loc_eq7yy2xv,Lexception,24 Rue Berger,,Paris,,75001,France,+33 1 4039 9234,https://www.lexception.com,,,,,Yes,
loc_jzpeemye,Roganel,23 rue des Archives,,Paris,,75004,France,+33 1 40 29 02 20,https://www.instagram.com/roganel75004/,,,,,Yes,
loc_gpvwwj27,Royalcheese,113 Rue De Turenne,,Paris,,75003,France,+33 1 48 04 53 52,https://www.royalcheese.com/en/,,,,,Yes,
loc_v5v99nqm,Authentique Parenthese,50 Rue De La Bidassoa,,Paris,,75020,United States,,https://www.authentiqueparenthese.fr/,,,,,Yes,
loc_v5v99nmm,Barnabe,"11, Rue De L'argenterie",,Montpellier,,34000,France,09 64 42 08 44,https://www.shopbarnabe.com/,,,,,Yes,
loc_ywpyyj8v,Baretta,Prinsestraat 2d,,The Hague,,2513CD,Netherlands,+31 070 346 4143,http://www.barettajeans.nl/,,,,,Yes,
loc_z7wpp5kw,Blender Store,86 Rue Du Bailli,1050 Ixelles,,,,Belgium,+32 2 534 81 97,https://blender-store.com/,,,,,Yes,
loc_5z5wwx7n,The Royal Racer,48 Rue Merciere,,Lyon,,69002,France,+33 4 78 37 18 57,http://www.theroyalracer.com/,,,,,Yes,
loc_ywpyyjev,Denim City AMS,Hannie Dankbaarpassage 22,,Amsterdam,,1053 RT,Netherlands,,http://www.denimcity.org,,,,,Yes,
loc_qx5mmvyy,Ballpark,Slijkstraat 11,,Weesp,,1381 AX,Netherlands,+31 294 785 136,https://ballpark.store/,,,,,Yes,
loc_p7gmm98k,Walther Clothing VOF,Bergstraat 35,,Eindhoven,,5611JX,Netherlands,+31 40 7370002,http://www.waltherapparelwebshop.nl,,,,,Yes,
loc_2neqqgm9,L'atelier 1937,1 Rue Casimir Perier,,Grenoble,,38000,France,+33 4 76 18 91 54,http://www.latelier-1937.com,,,,,Yes,
loc_qx5mmvzy,Bienvenu Store,"68, rue Carnot",,Annecy,,74000,France,04 80970254,http://bienvenuestore.com/about,,,,,Yes,
loc_jzpeemwe,Monsieur Alain - Geneve,Boulevard de Saint-Georges 63,,Geneve,,1205,Switzerland,+41 (0)22 534 94 34,https://www.monsieuralain.ch/,,,,,Yes,
loc_gpvwwj97,Monsieur Alain - Lausanne,35 rue du Simplon,,Lausanne,,1006,Switzerland,+41 (0)21 601 53 04,https://www.monsieuralain.ch/,,,,,Yes,
loc_9ykrr8ny,Kentaurus (Women Only),Albertusstraße 4 and 16e,,Cologne,,50667,Germany,+49 221 271 22 62,http://www.kentaurus.de,,,,,Yes,
loc_mg2xxk7v,Alex Jeans GmbH,Hauptstraße 51,,Illingen,,66557,Germany,,http://www.alexjeans.de,,,,,Yes,
loc_z7wppgzw,Cultizm,Dortmunder Str. 4,,Muenster,,48155,Germany,+49 251 27076890,http://www.cultizm.com,,,,,Yes,
loc_5z5wwxen,Wild & Solivo GmbH,Bahnhofplatz 4,,Baden,Aargau,5400,Switzerland,+41 56 210 48 61,https://www.wild-solivo.ch/,,,,,Yes,
loc_eq7yy26v,Dee Cee Style,Talacker 21,,Zurich,,8001,Switzerland,+ 41 43 497 35 85,https://www.deeceestyle.ch/,,,,,Yes,
loc_8gkee8z6,Fa. FREISTIL,Am Schliepsteiner Tor 6,,Bad Salzuflen,,32105,Germany,,,,,,,Yes,
loc_7vx22kyq,Four Aces,Ostertorsteinweg 96,,Bremen,,28203,Germany,+49 523 3752370,https://www.four-aces.com/,,,,,Yes,
loc_rxmzzqeq,Ciao Ragazzi,Rotebühlstraße 59a,,Stuttgart,Baden Württemberg,70178,Germany,+49 (0) 711 255 108 63,https://www.ciaoragazzistore.com/,,,,,Yes,
loc_kkwmmx6q,Lederladen,Platzgrasse 13,,Ulm,,89073,Germany,+49 731 6023107,https://www.lederladen-ulm.de/,,,,,Yes,
loc_8gkee8y6,Thomas I Punkt,Hardenstrasse 9,,Hamburg,,20539,Germany,+49 40 327172,http://thomasipunkt.de/,,,,,Yes,
loc_v5v99nem,Neumann's,Neue Str. 28,,Celle,,29221,Germany,+49 5141 4877800,http://www.neumannsshop.de,,,,,Yes,
loc_wgqvv2nx,Raw Denim Norway,Raw Denim Norway,Rathkes Gate 7B,Oslo,,558,Norway,+47 923 75 474,https://www.vintagejeans.no/,,,,,Yes,
loc_6j8nnz95,Montana Bamberg,Grüner Markt 14,,Bamberg,Bavaria,96047,Germany,+49 951 50907979,https://montana-bamberg.de/,,,,,Yes,
loc_rxmzzqkq,Statement Store,Fraunhoferstrasse 8,,Munich,,80469,Germany,+49 (0) 89 242 92 351,http://www.statement-store.com,,,,,Yes,
loc_wgqvv2xx,HepCat,S:t Lars v 21,,Lund,,222 70,Sweden,+46 46 211 14 49,http://www.hepcat.se,,,,,Yes,
loc_xgyqqep6,Burg & Schild,Rosa-Luxemburg-Strasse 3,,Berlin,,10178,Germany,493024630501,https://www.burgundschild.com/,,,,,Yes,
loc_qx5mmvry,Pretty Little Shop,Hauptstraße 16,,Doberlug-Kirchhain,,3253,Germany,,http://www.pretty-little-shop.de,,,,,Yes,
loc_xgyqqj56,Sun Set Star,Freiheitsplatz 1,,Graz,,8010,Austria,+43 316 815945,http://sunsetstar.com,,,,,Yes,
loc_9ykrr85y,Pinkomo,Eerikinkatu 9 Lh 1,,Helsinki,,100,Finland,+35 (0)8 50 408 1067,http://pinkomo.mycashflow.fi/,,,,,Yes,
loc_nxemm6z5,Zefear Store,"Ulitsa Mira, 5",,Saint Petersburg,,197101,Russia,+7 963 346 1438,http://zefear.ru/,,,,,Yes,
loc_z7wppgnw,Ostriv Store,Trade House The World Of Fisherman Ukraine,5 Entuziastov Street,Kyiv,,2154,Ukraine,+380 800 358 665,https://ostriv.ua/,,,,,Yes,
loc_7vx22k5q,Super Kicks,"Shop 2, Fairfield, SV Road",Santacruz West,Mumbai,,400054,India,,http://www.superkicks.in,,,,,Yes,
loc_xgyqqe26,PRONTO - Terminal 21,88 Sukhumvit Rd,"Khwaeng Khlong Toei Nuea, Watthana",Bangkok,,10110,Thailand,+66 2-108 0711,http://www.prontodenim.com,,,,,Yes,
loc_9ykrr8wy,Kronoz Denim,230 Jalan Tun Abdul Raza,Wadi Hana,Johor Bahru,Johor Darul Ta'zim,80000,Malaysia,+60 3211 0830,https://www.instagram.com/kronozdenim,,,,,Yes,
loc_2neqqgr9,Denim D' Artisan,"313 Somerset Rd, #03-14",Vivo City,,,238895,Singapore,,https://www.instagram.com/denimdartisan,,,,,Yes,
loc_mg2xxk8v,Blue Beach,Sanchong Dist San,,New Taipei City,,241,Taiwan,+886 2 2287 8790,https://www.bluebeachdenim.com/,,,,,Yes,
loc_mg2xxrev,Urban Lupe,1/102 Gertrude Street,,Fitzroy,Victoria,3065,Australia,+61 493 596 847,https://www.urbanlupe.com.au/,,,,,Yes,
loc_p7gmm9rk,Working Style Ltd,PO Box 37-546,Parnell,Auckland,,,New Zealand,+64 3 355 8493,https://www.workingstyle.co.nz/,,,,,Yes,
loc_p7gmm9rv,Smallable,,,Paris,,,France,,https://www.smallable.com/,,,,,,
